행정동,20대_매출_억(2024),20대_매출비중(%),20대_성장률_23v24(%),매출규모_순위,비중_순위,성장률_순위
우이동,59.4,4.77,-15.6,276,325,286
우장산동,64.0,5.31,-9.1,268,285,150
원효로1동,294.0,6.29,6.4,78,228,23
원효로2동,44.0,2.03,-1.0,310,417,47
월계1동,125.8,13.54,-17.8,174,49,325
월계2동,13.9,6.74,-1.4,394,208,49
월계3동,14.8,4.37,-8.1,393,344,131
월곡1동,35.8,4.78,-21.5,329,324,371
월곡2동,119.4,10.57,-12.6,184,85,229
위례동,19.0,6.85,-17.2,381,198,317
은천동,142.0,9.34,-11.1,158,112,189
을지로동,658.4,7.09,-9.9,28,186,165
응봉동,4.6,4.31,11.1,418,346,14
응암1동,135.4,8.11,-12.1,166,142,216
응암2동,20.5,3.03,-25.7,373,397,400
응암3동,134.3,6.82,-14.5,167,200,262
이문1동,273.5,25.59,-8.5,85,11,138
이문2동,18.6,5.55,-2.5,384,270,59
이촌1동,46.9,3.45,-19.8,301,390,360
이촌2동,12.3,4.94,-46.6,400,311,422
이태원1동,685.4,22.99,0.9,26,15,35
이태원2동,105.4,15.65,-4.7,197,38,80
이화동,260.8,17.78,-13.7,91,25,245
인수동,45.5,5.38,-1.5,306,279,50
인헌동,184.5,11.3,-19.0,128,79,347
일원1동,90.3,7.03,-19.0,221,188,347
일원2동,8.8,5.23,-19.4,408,295,357
일원본동,26.9,5.95,-22.7,352,244,379
자양1동,135.9,8.04,-5.1,165,146,89
자양2동,46.1,6.48,-21.4,304,219,370
자양3동,276.8,15.26,-7.5,83,43,124
자양4동,377.5,21.04,-11.9,58,16,208
잠실2동,161.7,6.17,10.5,139,237,15
잠실3동,250.9,9.26,55.3,99,115,3
잠실4동,20.5,3.97,-14.9,373,364,271
잠실6동,1952.9,18.31,40.1,6,24,4
잠실7동,7.6,3.98,9.7,410,362,17
잠실본동,776.8,12.26,-10.8,23,65,185
잠원동,272.1,8.42,-18.1,86,134,330
장안1동,229.6,3.55,-15.4,105,383,284
장안2동,171.8,4.46,-8.5,132,339,138
장위1동,34.3,7.56,-16.2,332,169,299
장위2동,25.0,4.51,-12.1,361,337,216
장위3동,9.4,2.59,-39.1,405,408,417
장지동,53.9,4.06,-18.9,286,357,344
장충동,72.0,8.25,-10.7,251,136,183
전농1동,221.5,12.03,-10.3,108,68,176
전농2동,43.8,7.37,-13.1,312,176,235
정릉1동,30.7,7.09,-19.7,341,186,358
정릉2동,37.2,6.32,-33.2,327,224,413
정릉3동,62.6,13.32,0.3,271,52,41
정릉4동,64.3,7.18,-5.9,267,182,98
제기동,535.2,1.72,-9.4,37,420,155
