코드,주말_총인구,주말_20대인구,평일_총인구,평일_20대인구,주말집중도,20대주말집중도,행정동,구역유형
11320512,33708.7337139423,4711.574885576923,31305.821999810607,4372.717494381313,1.0767560651864128,1.0774935475779128,창2동,주거형
11320513,9549.966971314103,1080.590800480769,8859.97378080808,985.6821505681818,1.077877565732829,1.0962872766417435,창3동,주거형
11320514,29566.01460272436,3540.1103057692308,28218.066715593435,3321.981076199495,1.0477689666239978,1.0656623937843999,창4동,주거형
11320515,18290.90722900641,2291.6010681089742,17720.559226830806,2197.6139993055554,1.0321856660884627,1.042767778523944,창5동,주거형
11320521,18350.382197596155,1783.3790125,16726.229059406567,1673.0303307449494,1.0971021700361199,1.0659573707225714,도봉1동,주거형
11320522,18812.62343108974,1857.191462820513,18232.619216224746,1855.0991710227272,1.0318113490983711,1.001127859809582,도봉2동,주거형
11320660,16471.549341185895,2327.565544871795,16130.056814835858,2464.3746835858587,1.0211711917862525,0.9444852523338716,쌍문1동,주거형
11320670,17728.925419711537,2133.3533737179487,17591.25602215909,2050.992879482323,1.0078260129566092,1.040156401838125,쌍문2동,주거형
11320680,16442.985332371794,2338.6926485576923,16039.55346098485,2226.230513510101,1.0251523131468883,1.050516841973508,쌍문3동,주거형
11320681,11345.097965384615,1060.6191110576924,11024.979767045455,986.9272993055556,1.0290357175344682,1.074667923163124,쌍문4동,주거형
11320690,24036.048396314105,2798.0771035256407,23092.95844848485,2673.0850568181813,1.0408388535376736,1.0467594723140758,방학1동,주거형
11320700,11051.864942788461,1171.1620392628206,10284.902721969696,1055.3338239267678,1.0745716553235305,1.1097550487911685,방학2동,주거형
11320710,20941.8306724359,1908.3912336538463,19830.401590025253,1762.2736630050506,1.056046725900382,1.0829142338764992,방학3동,주거형
11350560,19981.097014903848,3906.1601655448717,20178.076458522726,4287.137507386364,0.9902379474067421,0.9111347977094036,월계1동,주거형
11350570,17947.19895929487,1978.3745479166666,17988.088060479797,2026.679097411616,0.9977268789741607,0.9761656645313795,월계2동,주거형
11350580,24044.00427932692,2676.766169551282,21961.93237885101,2428.3425777146463,1.0948036750391288,1.1023017073935388,월계3동,주거형
11350595,40494.16302115385,7378.30720801282,38638.47106982323,6935.488793181818,1.0480270543825922,1.0638481912430355,공릉1동,주거형
11350600,43016.585959134616,7717.8577464743585,44720.764196590906,8960.010759343435,0.961892908851808,0.8613670177154901,공릉2동,주거형
11350611,23916.842817147437,3578.6730833333336,24469.41031294192,3760.0041515782827,0.9774180297470336,0.9517737053112469,하계1동,주거형
11350612,15784.222905448718,1816.3897605769232,14920.635108775252,1700.177433080808,1.0578787558557454,1.0683530584719811,하계2동,주거형
11350619,20911.36188798077,2117.650947596154,19548.609836742424,1967.7756774621212,1.0697109442880688,1.0761648148468477,중계본동,주거형
11350621,25259.948148397438,2436.073345673077,24767.046830303032,2309.306707070707,1.0199014973998164,1.054893807831689,중계1동,주거형
11350624,15138.839559134616,1686.125632852564,14852.815396022726,1574.8783813762627,1.0192572354456435,1.070638630126527,중계4동,주거형
11350625,29722.323859935896,3232.599648557692,28847.273430934347,3019.6350964646467,1.0303339042109674,1.0705265852626966,중계2·3동,주거형
11350630,35785.7926463141,3794.7036592948716,33438.57394368687,3534.1031866792932,1.0701949403279016,1.073738784311061,상계1동,주거형
11350640,29842.323867147436,4869.763724198718,27494.30991723485,4418.093326073232,1.0853999957438731,1.1022319731138244,상계2동,주거형
11350665,21771.735965705127,2168.792103205128,20122.451824936867,2000.1004512626264,1.081962384858309,1.0843415898616542,상계3·4동,주거형
11350670,16370.15638525641,1951.4672823717947,15299.304558396465,1771.6431650252525,1.0699934969444247,1.1015013186044036,상계5동,주거형
