도착_행정동코드,연도,분기,연도분기,연령대,HE_이동인구,WE_이동인구,EE_이동인구,합계_이동인구
1101054,2023,1,2023Q1,10,9006.79,588.32,15910.67,25505.78
1101054,2023,1,2023Q1,20,8142.43,862.09,41137.82,50142.34
1101054,2023,1,2023Q1,30,11776.93,1508.12,33678.86,46963.91
1101054,2023,1,2023Q1,40,21677.85,3043.51,34544.2,59265.56
1101054,2023,1,2023Q1,50,20913.54,3558.5299999999997,32803.71,57275.78
1101054,2023,1,2023Q1,60,16651.9,2109.12,23496.76,42257.78
1101054,2023,1,2023Q1,70,6972.81,698.4300000000001,7846.9800000000005,15518.220000000001
1101054,2023,1,2023Q1,80,4321.1,240.43,3821.69,8383.220000000001
1101054,2023,2,2023Q2,0,11845.4,480.43,19580.82,31906.65
1101054,2023,2,2023Q2,10,9370.44,867.0,14697.76,24935.2
1101054,2023,2,2023Q2,20,10357.58,1063.23,46890.04,58310.85
1101054,2023,2,2023Q2,30,15241.9,2194.34,43793.59,61229.829999999994
1101054,2023,2,2023Q2,40,27106.55,4125.61,43431.48,74663.64
1101054,2023,2,2023Q2,50,25093.88,4356.15,43124.55,72574.58
1101054,2023,2,2023Q2,60,21167.98,2962.04,35359.69,59489.71000000001
1101054,2023,2,2023Q2,70,9392.3,893.02,12058.09,22343.41
1101054,2023,2,2023Q2,80,6198.72,248.61,6239.900000000001,12687.23
1101054,2023,3,2023Q3,0,6539.11,510.3,14788.76,21838.17
1101054,2023,3,2023Q3,10,7937.22,703.84,13408.83,22049.89
1101054,2023,3,2023Q3,20,7660.98,935.29,38136.53,46732.8
1101054,2023,3,2023Q3,30,12622.49,1945.33,35299.06,49866.88
1101054,2023,3,2023Q3,40,22936.59,3948.92,36399.77,63285.28
1101054,2023,3,2023Q3,50,20948.64,3526.14,31961.65,56436.43
1101054,2023,3,2023Q3,60,16897.62,2438.04,24069.54,43405.2
1101054,2023,3,2023Q3,70,7753.59,826.05,8021.11,16600.75
1101054,2023,3,2023Q3,80,4647.66,335.76,3989.3,8972.720000000001
1101054,2023,4,2023Q4,0,7248.71,433.12,15671.960000000001,23353.79
1101054,2023,4,2023Q4,10,8647.03,612.76,13939.4,23199.190000000002
1101054,2023,4,2023Q4,20,11111.47,810.5799999999999,40487.33,52409.380000000005
1101054,2023,4,2023Q4,30,13775.92,1648.02,38018.2,53442.14
1101054,2023,4,2023Q4,40,24531.26,3760.93,39952.090000000004,68244.28
1101054,2023,4,2023Q4,50,24546.329999999998,3985.14,41423.17,69954.64
1101054,2023,4,2023Q4,60,20042.37,2722.0,35248.2,58012.56999999999
1101054,2023,4,2023Q4,70,8748.6,853.11,11661.97,21263.68
1101054,2023,4,2023Q4,80,5110.6,297.86,5201.38,10609.84
1101054,2024,1,2024Q1,0,7367.8,467.39,16668.18,24503.370000000003
1101054,2024,1,2024Q1,10,7599.68,576.51,13064.42,21240.61
1101054,2024,1,2024Q1,20,6702.61,602.94,34135.19,41440.740000000005
1101054,2024,1,2024Q1,30,10686.06,1255.86,32649.42,44591.34
1101054,2024,1,2024Q1,40,21853.83,3321.64,33063.4,58238.87
1101054,2024,1,2024Q1,50,21106.26,3301.73,31408.25,55816.24
1101054,2024,1,2024Q1,60,17641.84,2347.2599999999998,26085.27,46074.369999999995
1101054,2024,1,2024Q1,70,8174.73,863.78,9070.39,18108.9
1101054,2024,1,2024Q1,80,4414.69,317.24,3900.94,8632.869999999999
1101054,2024,2,2024Q2,0,10895.97,924.9200000000001,19285.4,31106.29
1101054,2024,2,2024Q2,10,8665.13,912.18,13250.42,22827.73
1101054,2024,2,2024Q2,20,8663.58,991.27,41645.52,51300.369999999995
1101054,2024,2,2024Q2,30,14251.289999999999,1948.3999999999999,43715.49,59915.17999999999
1101054,2024,2,2024Q2,40,27171.67,4217.16,41860.42,73249.25
1101054,2024,2,2024Q2,50,24603.17,4277.41,40068.77,68949.34999999999
1101054,2024,2,2024Q2,60,20848.12,2963.23,34494.4,58305.75
1101054,2024,2,2024Q2,70,9735.14,960.0500000000001,12934.25,23629.44
1101054,2024,2,2024Q2,80,5619.95,413.61,5401.69,11435.25
1101054,2024,3,2024Q3,0,9548.05,461.06,14810.550000000001,24819.66
1101054,2024,3,2024Q3,10,7283.32,820.96,11791.74,19896.02
1101054,2024,3,2024Q3,20,5705.08,577.01,30534.42,36816.509999999995
1101054,2024,3,2024Q3,30,11135.51,1389.14,32974.65,45499.3
1101054,2024,3,2024Q3,40,22390.78,3477.27,32785.45,58653.5
1101054,2024,3,2024Q3,50,22017.11,3624.64,29139.45,54781.2
1101054,2024,3,2024Q3,60,17902.31,2719.46,21814.4,42436.17
1101054,2024,3,2024Q3,70,9429.01,873.8,8016.37,18319.18
1101054,2024,3,2024Q3,80,5027.61,230.69,4023.97,9282.269999999999
1101054,2024,4,2024Q4,0,8879.88,849.8199999999999,18003.87,27733.57
1101054,2024,4,2024Q4,10,8444.35,691.1,13262.0,22397.45
1101054,2024,4,2024Q4,20,7849.429999999999,739.6,32665.86,41254.89
1101054,2024,4,2024Q4,30,13572.47,1718.1499999999999,38560.96,53851.58
1101054,2024,4,2024Q4,40,27254.25,3935.81,39866.87,71056.93000000001
1101054,2024,4,2024Q4,50,28317.61,4291.12,42494.51,75103.24
1101054,2024,4,2024Q4,60,25837.87,3333.64,37356.0,66527.51
1101054,2024,4,2024Q4,70,12051.43,1019.09,15284.0,28354.52
