period,group,ratio
2024-11-01,방배,9.62852
2024-12-01,방배,9.33886
2020-01-01,상봉,15.42227
2020-02-01,상봉,13.54351
2020-03-01,상봉,11.14515
2020-04-01,상봉,12.21338
2020-05-01,상봉,14.27488
2020-06-01,상봉,13.90063
2020-07-01,상봉,15.41725
2020-08-01,상봉,13.96725
2020-09-01,상봉,11.60314
2020-10-01,상봉,14.19427
2020-11-01,상봉,12.88816
2020-12-01,상봉,9.30273
2021-01-01,상봉,10.96951
2021-02-01,상봉,12.00725
2021-03-01,상봉,14.16461
2021-04-01,상봉,13.64751
2021-05-01,상봉,14.1857
2021-06-01,상봉,13.82023
2021-07-01,상봉,12.48133
2021-08-01,상봉,11.92121
2021-09-01,상봉,12.16472
2021-10-01,상봉,13.69158
2021-11-01,상봉,14.40958
2021-12-01,상봉,13.37748
2022-01-01,상봉,12.91447
2022-02-01,상봉,11.55072
2022-03-01,상봉,13.39064
2022-04-01,상봉,14.7713
2022-05-01,상봉,17.95053
2022-06-01,상봉,16.82048
2022-07-01,상봉,17.69511
2022-08-01,상봉,16.86851
2022-09-01,상봉,15.28109
2022-10-01,상봉,16.58594
2022-11-01,상봉,15.34019
2022-12-01,상봉,16.62291
2023-01-01,상봉,16.06509
2023-02-01,상봉,15.43835
2023-03-01,상봉,16.48048
2023-04-01,상봉,15.64844
2023-05-01,상봉,16.71355
2023-06-01,상봉,16.05089
2023-07-01,상봉,16.63627
2023-08-01,상봉,16.59137
2023-09-01,상봉,29.12805
2023-10-01,상봉,15.74222
2023-11-01,상봉,14.92459
2023-12-01,상봉,15.86564
2024-01-01,상봉,15.4962
2024-02-01,상봉,15.30469
2024-03-01,상봉,16.76158
2024-04-01,상봉,16.01329
2024-05-01,상봉,17.31021
2024-06-01,상봉,15.99429
2024-07-01,상봉,18.64765
2024-08-01,상봉,16.78455
2024-09-01,상봉,14.84335
2024-10-01,상봉,15.20152
2024-11-01,상봉,15.41893
2024-12-01,상봉,16.44414
2020-01-01,용산해방촌,9.72898
2020-02-01,용산해방촌,8.07452
2020-03-01,용산해방촌,9.76177
2020-04-01,용산해방촌,11.17773
2020-05-01,용산해방촌,31.33553
2020-06-01,용산해방촌,7.51085
2020-07-01,용산해방촌,11.43168
2020-08-01,용산해방촌,10.2726
2020-09-01,용산해방촌,9.49737
2020-10-01,용산해방촌,13.42802
2020-11-01,용산해방촌,10.51695
2020-12-01,용산해방촌,3.46596
2021-01-01,용산해방촌,6.5911
2021-02-01,용산해방촌,13.46081
2021-03-01,용산해방촌,13.56481
2021-04-01,용산해방촌,13.60157
