period,group,ratio,anchor_ratio,adjusted_ratio
2022-01-01,연희동,3.28489,13.52126,24.29
2022-02-01,연희동,2.85017,11.60631,24.56
2022-03-01,연희동,3.29704,9.61744,34.28
2022-04-01,연희동,3.56091,7.20449,49.43
2022-05-01,연희동,3.32195,10.56803,31.43
2022-06-01,연희동,3.07959,13.10463,23.5
2022-07-01,연희동,3.08662,13.30983,23.19
2022-08-01,연희동,3.07135,24.57263,12.5
2022-09-01,연희동,2.68766,11.88545,22.61
2022-10-01,연희동,2.98205,12.16849,24.51
2022-11-01,연희동,2.85409,11.06362,25.8
2022-12-01,연희동,2.93816,12.94763,22.69
2023-01-01,연희동,3.17691,12.4425,25.53
2023-02-01,연희동,3.0838,10.42811,29.57
2023-03-01,연희동,3.10861,10.79624,28.79
2023-04-01,연희동,3.11384,11.09697,28.06
2023-05-01,연희동,2.81552,22.22307,12.67
2023-06-01,연희동,2.66114,11.7625,22.62
2023-07-01,연희동,3.60109,16.50774,21.81
2023-08-01,연희동,3.63494,14.98302,24.26
2023-09-01,연희동,2.61152,12.22414,21.36
2023-10-01,연희동,2.70162,12.8723,20.99
2023-11-01,연희동,2.41073,14.54418,16.58
2023-12-01,연희동,2.76751,15.42547,17.94
2024-01-01,연희동,2.78589,14.06366,19.81
2024-02-01,연희동,2.67791,12.93166,20.71
2024-03-01,연희동,2.56662,12.11918,21.18
2024-04-01,연희동,2.56913,11.8761,21.63
2024-05-01,연희동,2.80045,12.49001,22.42
2024-06-01,연희동,2.42901,12.20114,19.91
2024-07-01,연희동,2.56039,16.73806,15.3
2024-08-01,연희동,7.17777,12.33523,58.19
2024-09-01,연희동,2.49099,11.73177,21.23
2024-10-01,연희동,2.5851,11.86586,21.79
2024-11-01,연희동,2.39979,12.38133,19.38
2024-12-01,연희동,2.70855,12.52567,21.62
2020-01-01,왕십리,58.22042,,
2020-02-01,왕십리,52.97873,,
2020-03-01,왕십리,44.22704,,
2020-04-01,왕십리,47.56808,,
2020-05-01,왕십리,52.79525,,
2020-06-01,왕십리,48.35124,,
2020-07-01,왕십리,55.95747,,
2020-08-01,왕십리,49.72944,,
2020-09-01,왕십리,36.52699,,
2020-10-01,왕십리,48.63839,,
2020-11-01,왕십리,44.32552,,
2020-12-01,왕십리,23.70033,,
2021-01-01,왕십리,31.28012,,
2021-02-01,왕십리,41.26748,,
2021-03-01,왕십리,49.88752,,
2021-04-01,왕십리,44.37216,,
2021-05-01,왕십리,49.91551,,
2021-06-01,왕십리,50.49291,,
2021-07-01,왕십리,43.23343,,
2021-08-01,왕십리,39.91105,,
2021-09-01,왕십리,40.29305,,
2021-10-01,왕십리,45.94161,,
2021-11-01,왕십리,50.53075,,
2021-12-01,왕십리,48.0584,,
