행정동,연도,분기,나이,이동인구
여의동,2023,4,15,369143.46
여의동,2023,4,20,320147.23
여의동,2023,4,25,589535.64
여의동,2023,4,30,595821.07
여의동,2023,4,35,547655.54
여의동,2023,4,40,626274.57
여의동,2023,4,45,501659.93
여의동,2023,4,50,507068.34
여의동,2023,4,55,449042.58
여의동,2023,4,60,467464.77999999997
여의동,2023,4,65,399480.62
여의동,2023,4,70,253426.38
여의동,2023,4,75,237122.36
여의동,2023,4,80,331441.83
여의동,2024,1,0,305233.07
여의동,2024,1,10,206221.21
여의동,2024,1,15,285898.83
여의동,2024,1,20,239347.02000000002
여의동,2024,1,25,474168.95
여의동,2024,1,30,501539.99
여의동,2024,1,35,477528.08
여의동,2024,1,40,560076.81
여의동,2024,1,45,442391.14
여의동,2024,1,50,449518.28
여의동,2024,1,55,401545.25
여의동,2024,1,60,417390.08
여의동,2024,1,65,365417.08
여의동,2024,1,70,244900.23
여의동,2024,1,75,225916.8
여의동,2024,1,80,316672.41
여의동,2024,2,0,427434.17
여의동,2024,2,10,273930.23
여의동,2024,2,15,378862.92
여의동,2024,2,20,363055.42
여의동,2024,2,25,655508.04
여의동,2024,2,30,654460.83
여의동,2024,2,35,584728.78
여의동,2024,2,40,656532.38
여의동,2024,2,45,508922.72
여의동,2024,2,50,515152.86
여의동,2024,2,55,460540.95999999996
여의동,2024,2,60,473346.17
여의동,2024,2,65,429247.15
여의동,2024,2,70,282856.81
여의동,2024,2,75,258048.62
여의동,2024,2,80,368930.62
여의동,2024,3,0,287610.6
여의동,2024,3,10,226939.29
여의동,2024,3,15,287684.2
여의동,2024,3,20,259533.37
여의동,2024,3,25,495312.06
여의동,2024,3,30,541328.41
여의동,2024,3,35,508592.41
여의동,2024,3,40,580461.68
여의동,2024,3,45,464100.64
여의동,2024,3,50,477642.4
여의동,2024,3,55,415325.69
여의동,2024,3,60,424237.88
여의동,2024,3,65,388678.48
여의동,2024,3,70,267101.23
여의동,2024,3,75,244628.3
여의동,2024,3,80,340493.64
여의동,2024,4,0,332511.27
여의동,2024,4,10,289353.4
여의동,2024,4,15,403420.44
여의동,2024,4,20,344709.05
여의동,2024,4,25,651068.3099999999
여의동,2024,4,30,696158.88
여의동,2024,4,35,614637.97
여의동,2024,4,40,706333.22
여의동,2024,4,45,610302.65
여의동,2024,4,50,661023.62
여의동,2024,4,55,577256.72
여의동,2024,4,60,540096.54
여의동,2024,4,65,479269.6
여의동,2024,4,70,309961.22000000003
여의동,2024,4,75,267034.65
여의동,2024,4,80,374670.7
