행정동,20대매출_2020억,20대매출_2021억,20대매출_2022억,20대매출_2023억,20대매출_2024억,20대비중_2020%,20대비중_2021%,20대비중_2022%,20대비중_2023%,20대비중_2024%,20대성장률_2019v2020%,20대성장률_2020v2021%,20대성장률_2021v2022%,20대성장률_2022v2023%,20대성장률_2023v2024%
인헌동,217.8,238.5,233.6,227.6,184.5,18.77,15.66,14.68,13.3,11.3,,9.5,-2.0,-2.6,-19.0
일원1동,122.1,105.8,113.1,111.5,90.3,12.92,10.69,10.69,9.23,7.03,,-13.3,6.9,-1.4,-19.0
일원2동,14.0,17.3,13.1,10.9,8.8,14.25,11.38,7.47,6.06,5.23,,23.8,-24.5,-16.7,-19.4
일원본동,45.6,41.4,38.0,34.8,26.9,12.32,10.21,8.15,7.02,5.95,,-9.1,-8.4,-8.3,-22.7
자양1동,151.2,154.9,149.4,143.2,135.9,12.16,10.84,10.08,8.97,8.04,,2.4,-3.5,-4.2,-5.1
자양2동,66.0,73.3,65.5,58.7,46.1,11.11,9.87,8.58,7.49,6.48,,11.1,-10.7,-10.4,-21.4
자양3동,468.0,275.0,215.9,299.3,276.8,28.64,18.21,14.01,16.14,15.26,,-41.2,-21.5,38.6,-7.5
자양4동,369.4,390.5,429.6,428.3,377.5,27.38,26.55,25.25,23.55,21.04,,5.7,10.0,-0.3,-11.9
잠실2동,73.2,117.2,147.5,146.4,161.7,5.39,6.25,7.65,6.06,6.17,,60.0,25.9,-0.8,10.5
잠실3동,148.4,220.1,126.6,161.5,250.9,12.22,11.41,9.46,8.47,9.26,,48.3,-42.5,27.6,55.3
잠실4동,17.2,30.6,26.9,24.1,20.5,5.6,6.97,5.57,4.65,3.97,,77.8,-12.2,-10.3,-14.9
잠실6동,1235.1,1484.4,266.4,1393.4,1952.9,24.24,24.83,14.99,20.55,18.31,,20.2,-82.1,423.1,40.1
잠실7동,2.6,7.9,7.9,6.9,7.6,1.51,3.2,3.13,3.36,3.98,,207.3,0.8,-13.0,9.7
잠실본동,781.2,810.0,918.8,871.2,776.8,17.46,14.93,14.88,13.24,12.26,,3.7,13.4,-5.2,-10.8
잠원동,320.0,323.8,335.8,332.2,272.1,13.04,11.8,11.22,10.42,8.42,,1.2,3.7,-1.1,-18.1
장안1동,281.2,333.2,306.3,271.4,229.6,6.54,6.63,5.7,4.33,3.55,,18.5,-8.1,-11.4,-15.4
장안2동,206.7,239.2,201.4,187.7,171.8,6.97,6.95,5.95,5.2,4.46,,15.7,-15.8,-6.8,-8.5
장위1동,33.6,43.2,40.7,41.0,34.3,9.95,10.43,8.9,8.26,7.56,,28.7,-5.8,0.7,-16.2
장위2동,30.2,32.1,32.3,28.5,25.0,6.53,6.24,6.01,5.26,4.51,,6.3,0.8,-12.0,-12.1
장위3동,16.3,23.2,21.2,15.5,9.4,5.84,6.3,7.13,5.74,2.59,,42.8,-8.7,-26.9,-39.1
