행정동,YQ,연도,분기,총매출,20대매출,20대비중,QoQ_총매출,QoQ_20대매출
성수2가3동,1,2020,1,87343327217,14196837894,0.16254061238964124,,
성수2가3동,2,2020,2,89823915208,15527531514,0.17286634052906513,0.028400429317709808,0.09373169081281052
성수2가3동,3,2020,3,87875255403,16995672704,0.19340680861816056,-0.02169422030299617,0.09455084271935221
성수2가3동,4,2020,4,93179214339,14495603512,0.15556692138724001,0.06035782100064235,-0.1471003375707276
성수2가3동,5,2021,1,84569285557,13335032046,0.15768173939476102,-0.09240181775600498,-0.08006368724415203
성수2가3동,6,2021,2,107000803545,16945513700,0.1583680976084767,0.2652442649865012,0.27075162935832653
성수2가3동,7,2021,3,103005979795,15525258140,0.15072191120261166,-0.03733452102833923,-0.08381307201091226
성수2가3동,8,2021,4,110035219113,18108201727,0.16456732556149947,0.06824108010029528,0.1663704116033462
성수2가3동,9,2022,1,106163884231,15976136168,0.15048560330778615,-0.03518268889912746,-0.11774032513791866
성수2가3동,10,2022,2,125051027474,20470646829,0.16369834972572422,0.1779055408513861,0.28132651185099733
