행정동,주말집중도,2030주말집중도,주말_총인구,평일_총인구,업종점수,2030비중,구역유형
신월7동,1.0550226196446413,1.1267052439490697,364879.742076923,345850.16025516484,0.3007103489678353,0.171844159158141,주거형
신정1동,1.0602822724816856,1.0922084214984156,388820.7948038461,366714.41642967035,0.3879985425214096,0.1707095719426166,주거형
신정2동,1.0520355997163564,1.0815164177620606,351960.25433076924,334551.6581621978,0.2830557770456391,0.1446084963340597,주거형
신정3동,1.028626573548073,1.0868034525807995,972694.6078961538,945624.6152974725,0.2157317148650892,0.2099315252822128,주거형
신정4동,1.0135195552586433,1.050881628328891,821184.9119346153,810230.9498360439,0.435251693899681,0.2352455945131042,주거형
신정6동,1.0170907064455033,1.0430528312362572,463167.1275423077,455384.2883502197,0.1370539782780132,0.0822533766860637,주거형
신정7동,1.0227994547183392,1.0846340846734754,519478.17310384614,507898.36727758247,0.2641002725383345,0.1408696173551758,주거형
신촌동,0.8160569867248935,0.8445789531397568,1114759.6353653846,1366031.6050221978,0.6259062769016698,0.4828407301305082,혼합형
쌍문1동,1.021275182678687,0.9800624912794561,395317.1841884615,387081.945094945,0.3559647895176357,0.2281112390017322,주거형
쌍문2동,1.0078333938627375,1.04968938460536,425494.21007307695,422187.0526062638,0.3033841542095692,0.1907184897976084,주거형
쌍문3동,1.0251771653452162,1.0596392072630727,394631.6479769231,384939.95117813186,0.466503511223336,0.1933638689365555,주거형
쌍문4동,1.029192687541807,1.108180050466219,272282.35116923077,264559.1583239561,0.1805586604407695,0.1377926521738683,주거형
아현동,0.9078679593146025,0.8985862403483409,612758.6451192307,674942.4724514285,0.2144976301075729,0.2652963234196556,혼합형
안암동,0.8161268345386894,0.792244362030049,480674.96277307696,588970.9079897802,0.7225874961056479,0.457378231160235,혼합형
암사1동,1.0661485254436702,1.0828082808541177,705922.1451230769,662123.6425096703,0.3862848397785315,0.2087089759111258,주거형
암사2동,1.0397545493478306,1.07947917210442,349685.25545,336315.19637912087,0.4288446967678802,0.2679017026536969,주거형
암사3동,1.0036675210035355,1.0652210520497276,339650.01965384616,338408.897912967,0.2432659481039148,0.1719597364037432,주거형
압구정동,0.888574623721409,0.9103102985061781,903275.6518384615,1016544.5059138462,0.5679043616375825,0.4006227524210722,혼합형
약수동,1.0348317064269867,1.0402507574848467,323030.5369307692,312157.5565616484,0.3681463686634326,0.2607820510276051,주거형
양재1동,0.8037074043369292,0.6827077372179825,1089273.8904961539,1355311.503438022,0.4010474993723611,0.2909801589378252,혼합형
양재2동,0.8358667952489839,0.7698313128120974,779585.2049730769,932666.7950015385,0.4794078968829492,0.2011391902548606,혼합형
양평1동,0.8921140767481588,0.8965718915681096,434792.24357692304,487372.9211423077,0.3997710114375834,0.2710722960865985,혼합형
양평2동,0.8752504095169567,0.9010962274725528,582175.5307884616,665153.1087083516,0.4751137371991623,0.2560499440409562,혼합형
여의동,0.6195512729101097,0.5553834968146135,1681592.1085692307,2714209.7548610987,0.6819274428852159,0.2758756959202006,오피스형
역삼1동,0.6515642921591114,0.637301802996318,1773519.836930769,2721941.4235451645,0.5267036893417956,0.4270633645964672,오피스형
역삼2동,0.7830302746711336,0.6418905964263468,1086603.6605653847,1387690.483642857,0.4273574025450503,0.2598458009224745,오피스형
역촌동,1.073002719364518,1.0929605153956201,981467.6818884615,914692.6323446153,0.5194286512399029,0.2228667856156675,주거형
연남동,1.0746632662345155,1.1491255451728284,422983.7160884616,393596.51472087915,0.8816629092642724,0.6354008100971866,주거형
연희동,0.9993280156211446,1.0258302595115225,876829.4766192308,877419.0885404395,0.5072994946321198,0.3004455408011452,주거형
염리동,0.9433326732793043,0.9612767686972825,376157.2269615385,398753.5231382417,0.591175516320043,0.2782548003346914,혼합형
염창동,1.0087248385553147,1.0466647990734,722172.6821230769,715926.3403857143,0.326877831978254,0.2853287570388577,주거형
영등포동,0.9997171500599619,1.0968802923869296,1176064.6537884616,1176397.3977218682,0.3322510879640198,0.3204644651481462,주거형
영등포본동,1.044449643031674,1.1239683923334682,456230.2779692308,436814.0494020879,0.2953407143762529,0.3879124008784115,주거형
오금동,1.0098191182322556,1.0473126453604042,891324.6047,882657.6845369231,0.2987336831861429,0.1515089089883065,주거형
오류1동,1.0789043054876264,1.126727398538754,434409.7783538461,402639.7671640659,0.4736492458695236,0.3106676948447606,주거형
오류2동,1.0389379261211709,1.0757342316414784,1240507.3423884616,1194014.8792332967,0.3158442178979914,0.1828135167423216,주거형
오륜동,1.1637343009137466,1.4532606257005916,515212.62873076927,442723.59105186816,0.9019531816406452,0.29639738177026,상권형
옥수동,1.008822405942465,1.0190815390571264,628390.0588115385,622894.6295304395,0.3114316552447475,0.2543553279764571,주거형
왕십리2동,1.0640263831932326,1.0996349955247071,347947.4981076923,327010.2166672527,0.4037438853127357,0.2461268224677991,주거형
왕십리도선동,0.997986258857836,1.0241180767425255,688535.7632423077,689925.0937886813,0.5581645372474093,0.2806284590710026,주거형
용강동,0.9104504602319892,0.84164291356793,547722.8502807692,601595.445556923,0.5257795578422023,0.1731252301081945,혼합형
용답동,0.9762383150467914,1.0072920268134162,434859.4875653846,445443.9872548351,0.4218653206154258,0.2326518440459449,주거형
용문동,1.041684127984908,1.0585692952517762,202212.0068423077,194120.2725565934,0.2079626382333241,0.1350069617426478,주거형
용산2가동,1.0676124114883243,1.2404110530687005,299572.34772307693,280600.2857398901,0.6516165030744542,0.5071578795583916,주거형
용신동,0.9441246184024188,0.9601765189387784,948916.1793346154,1005075.1360983517,0.3550016831061197,0.1720315459851026,혼합형
우이동,1.1552018984761756,1.1254579405135388,468730.22528846154,405756.1071417582,0.6598398200515426,0.1758874398614592,상권형
우장산동,1.0043579624951313,0.9954295531867929,808373.2672307693,804865.6927282417,0.3498084425226604,0.1778897016104917,주거형
원효로1동,0.9250773587105224,0.9679393678147827,414441.7901038462,448007.71114054945,0.1688024976240921,0.1905689638427269,혼합형
원효로2동,0.9704467016371979,0.99396133867382,342336.8219692308,352762.105730989,0.087201274638726,0.1010495736092319,주거형
월계1동,0.9902811092248216,0.9444968623635871,479546.32835769234,484252.72772604396,0.5910225807391586,0.2859452034284858,주거형
월계2동,0.9978275865759436,1.0153571493911597,430732.7750230769,431670.54190307687,0.2741023565994402,0.1500763644974586,주거형
월계3동,1.0949104468282824,1.126074959905532,577056.1027038461,527034.9774956044,0.4220965551991524,0.1262290857915948,주거형
월곡1동,0.9709066458716519,0.8968199144864453,613718.9393269231,632109.1136171429,0.3212993273792926,0.1731112585994712,주거형
월곡2동,1.0027549150074966,0.9813019701375808,516379.24094999995,514960.5683519781,0.5217671361013013,0.2395207852216343,주거형
위례동,1.0386939714859724,1.0574981195579711,1122000.0585346154,1080202.7250908792,0.7312896978163937,0.322442088118915,주거형
은천동,1.050996272342859,1.1021202548380022,673711.1042038461,641021.4021996703,0.3993140615798677,0.2786364735443185,주거형
을지로동,0.5173892766683099,0.7328896798005293,225264.43174615383,435386.742448022,0.2842377007755839,0.1980821427515545,오피스형
응봉동,1.031062979113267,1.0962265105420106,258164.15119615383,250386.40357175824,0.241259438117279,0.1697356510426357,주거형
응암1동,1.043997284488245,1.0494531558338207,531070.8125884616,508689.8409403297,0.4545819438603209,0.2357421407682183,주거형
응암2동,1.0834861556408861,1.119115195786466,407906.14927692304,376475.6449847253,0.2299928569378535,0.156299858071309,주거형
응암3동,1.030434043848331,1.074263135782595,583550.7395769231,566315.4697389011,0.4827701261526627,0.2268296533134119,주거형
이문1동,0.9354912166952586,0.9095533032829458,502530.4006384616,537183.4515065935,0.6406695592486583,0.4165696040000079,혼합형
이문2동,1.0352481757985337,1.0560354093591056,327036.40116153844,315901.4512720879,0.3766747632397605,0.2138731598571833,주거형
이촌1동,1.0228415758355753,1.0814880250951109,584187.5448384616,571141.7668579121,0.4369181189059086,0.143273118718419,주거형
이촌2동,1.1057476657757683,1.2313647337130498,198532.6391807692,179546.06220351646,0.1397041018528844,0.1368552245823387,상권형
이태원1동,1.2251230307924255,1.572713503836477,318539.1165692308,260005.81865087914,0.7999068558177869,0.5501220329602208,상권형
이태원2동,1.0537090897068235,1.1361811846214478,265149.47546538466,251634.41983703297,0.8127902961690779,0.4595827494016651,주거형
이화동,0.767391051357039,0.8525759078565455,508769.8440423077,662986.4176062638,0.7524535310134735,0.3970451469900823,오피스형
인수동,1.0441018460774285,1.0629848879509596,657636.0994,629858.1904348352,0.3725777089087735,0.1913697753428105,주거형
인헌동,1.0554926010101147,1.106305439792026,564929.2748923077,535228.0767782417,0.312976590092565,0.310940882932663,주거형
일원1동,0.9568008691491382,0.9338601761600417,334019.1419769231,349099.9566858242,0.45917589457515,0.2315602991901963,주거형
일원2동,0.9441228520401184,0.9616974680324286,433778.4737846154,459451.30217670335,0.4939735206018167,0.2407458731110556,혼합형
일원본동,0.9249666660786052,0.8535151438850587,530145.9998230769,573151.4650907692,0.7579243883325824,0.2259931754962399,혼합형
자양1동,0.9778259963994176,1.0005295188951597,571859.0808115385,584827.03765011,0.3399642239598756,0.2289425120564711,주거형
자양2동,1.0287365625064344,1.0815973534099261,516391.14053846156,501966.3530576923,0.4182391521612276,0.2360439039481212,주거형
자양3동,1.0319323421804876,1.0704161745677447,651529.3649846155,631368.2964989011,0.5408573601936005,0.3496357296048153,주거형
자양4동,1.0512190203981393,1.0867382059763029,652015.3326346154,620246.8943034066,0.6258835477397888,0.4123961312038379,주거형
잠실2동,1.066026942916329,1.2470727117871236,811586.7654115384,761319.1869159341,0.1725112073450405,0.2079148282908345,주거형
잠실3동,1.0863573321490911,1.071400045935818,1184481.7189461538,1090324.2274831869,0.234336976722406,0.2990097059719638,주거형
잠실4동,1.04053374330948,1.071260650293954,516587.75255,496464.2001007692,0.1678178760681859,0.1976268182278847,주거형
잠실6동,0.880185527463693,0.9503232665393576,891350.5638653846,1012684.8670573626,0.8816472801555122,0.5050793950739504,혼합형
잠실7동,1.010635944818765,1.0997680803353858,241922.82425,239376.82554263738,0.0527514059821243,0.1406215995673948,주거형
잠실본동,1.058246345534638,1.107776348694152,919839.2438846154,869210.8862609889,0.4563984470035734,0.32977838143921,주거형
