행정동코드,연도,분기,연도분기,총_유동인구,남성_유동인구,여성_유동인구,10대미만,10대,20대,30대,40대,50대,60대,70이상,2030_유동인구,2030_유동인구_비중
11110550,2024,1,2024Q1,28069845.772199996,12800167.589,15269678.1539,1889553.2174,3390555.7770000002,3607419.6284,3281513.5065,4575588.886,4445924.1721,3283877.8288000003,3595412.7267000005,6888933.1349,0.245421
11110550,2024,2,2024Q2,28757147.2072,12820912.8687,15936234.3322,1928531.2749,3879870.2066,4201923.754000001,3318007.7342999997,4488538.9237,4346830.2684,3180977.8363,3412467.2027000003,7519931.4883,0.261498
11110550,2024,3,2024Q3,27622156.4533,12388472.2402,15233684.241799999,1934242.8958,3370628.8265,3481279.4867000002,3268132.5533,4362678.1895,4438434.2948,3193798.6812,3572961.5542,6749412.04,0.244348
11110550,2024,4,2024Q4,28169569.3662,12474550.589,15695018.7771,1936642.4824,3458986.7864,4077527.0267000003,3267374.1528000003,4289196.7521,4430772.7167,3146647.0686999997,3562422.3803000003,7344901.179500001,0.260739
11110560,2020,1,2020Q1,40322615.7049,18215959.475,22106656.1418,2368116.3356999997,3987262.115,4490968.316,4505159.2924,5954734.4765,7040603.993000001,5592484.5142,6383286.574,8996127.608399998,0.223104
11110560,2020,2,2020Q2,42084067.0892,18936021.4486,23148045.6213,2420190.1664,4265334.0477,4760697.7165,4742862.5766,6424110.2369,7304812.5511,5829154.7331,6336905.0416,9503560.2931,0.225823
11110560,2020,3,2020Q3,43386351.6808,19465840.1285,23920511.4773,2577417.7729,4553014.1272,4852541.4135,4844283.5955,6731360.3739,7464096.4611,5975936.7938,6387701.0679,9696825.009,0.223499
11110560,2020,4,2020Q4,43444039.3472,19593290.0246,23850749.3412,2725233.9173,4499907.6165000005,4791771.664,4850598.0756,6806011.2783,7383558.7256,6031928.0611,6355030.0274,9642369.739599999,0.221949
11110560,2021,1,2021Q1,42199312.325,19085229.9776,23114082.423,2791076.5737,4400104.7066,4600422.0893,4685147.944,6618903.9862,7154412.8838,5787383.6888,6161860.5282,9285570.033300001,0.220041
11110560,2021,2,2021Q2,42553514.4545,19141627.4261,23411887.1337,2803264.2558999998,4643027.8785,4603891.9,4738802.616,6662015.5049,7116793.3335,5855722.1455,6129996.9255,9342694.516,0.219552
11110560,2021,3,2021Q3,41619624.142,18670677.661,22948946.4339,2743177.8645,4281512.0494,4449775.4195,4702775.7808,6505724.3817,7125812.857000001,5854663.4895,5956182.2524999995,9152551.2003,0.21991
