행정동,업종,연도,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,주중_매출_건수,주말_매출_건수,연령대_20_매출_금액,연령대_20_매출_건수,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액
가락2동,서적,2024,1038742497,49526,814630963,224111534,39228,10298,25892138,2537,201730847,157814749,159660964,135479052,159945351,138647515,85464019
가락2동,세탁소,2020,517668899,37518,383121454,134547445,28847,8671,40307762,3303,88468881,65903161,112620031,58763972,57365409,132472117,2075328
가락2동,세탁소,2021,742123041,46207,560445195,181677846,35571,10636,61982488,3920,111596384,101036846,152093626,91123628,104594711,175961251,5716595
가락2동,세탁소,2022,851785565,46542,658891688,192893877,36222,10320,57924357,3787,135187339,131935634,173977700,107728156,110062859,189503608,3390269
가락2동,세탁소,2023,774417526,42648,578280695,196136831,33080,9568,55386485,3497,143742860,100457404,129819245,100015154,104246032,190915190,5221641
가락2동,세탁소,2024,808334784,38848,627259266,181075518,30019,8829,30236424,1898,148239869,131785943,130108981,111468871,105655602,177289489,3786029
가락2동,슈퍼마켓,2020,9746043581,802613,7363041441,2383002140,608639,193974,720002665,97836,1509744702,1442584405,1400510304,1489951220,1520250810,1507314324,875687816
가락2동,슈퍼마켓,2021,21166696630,1627027,15873521841,5293174789,1214392,412635,1471916089,223179,3138239383,3002342849,2970235429,3305868640,3456835540,3120190824,2172983965
가락2동,슈퍼마켓,2022,14224863324,1013422,10699212370,3525650954,760695,252727,843032096,129679,2592866700,2024713291,1917382655,1945018718,2219231006,2142230621,1383420333
가락2동,슈퍼마켓,2023,10121777261,685271,7673755479,2448021782,520045,165226,549839004,85690,1551339623,1507656653,1499557350,1501805830,1613396023,1513231299,934790483
가락2동,슈퍼마켓,2024,9417223484,649373,7026817954,2390405530,493832,155541,385882400,67195,1417176799,1386041310,1293306983,1391743088,1538549774,1529434334,860971196
가락2동,스포츠 강습,2020,540529942,2241,509839305,30690637,2146,95,91403538,157,110935070,97657094,108268065,70646095,122332981,30690637,0
가락2동,스포츠 강습,2021,1170376881,4428,1103518046,66858835,4261,167,150552051,331,226964415,210230257,180302985,251144940,234875449,52592308,14266527
가락2동,스포츠 강습,2022,1585020367,7242,1492478583,92541784,6852,390,107577191,426,331039935,298760367,284931069,290226532,287520680,87992005,4549779
가락2동,스포츠 강습,2023,1454495105,6109,1375689397,78805708,5850,259,63276797,206,411007189,247671824,235605647,228189092,253215645,37005708,41800000
가락2동,스포츠 강습,2024,1058466119,4756,1027762169,30703950,4576,180,82729136,416,237114891,250781502,155727535,185409085,198729156,28879389,1824561
가락2동,스포츠클럽,2020,823320681,3399,773163424,50157257,3121,278,125977150,886,225245640,144168452,105186349,151269546,147293437,40792139,9365118
가락2동,스포츠클럽,2021,1639671672,5073,1498690162,140981510,4574,499,307494208,1653,517705383,207797776,284096460,304062756,185027787,106723135,34258375
가락2동,스포츠클럽,2022,1163349387,3645,1075855124,87494263,3258,387,384402834,837,357868935,297146518,160476987,93174447,167188237,33550584,53943679
